activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	credit.score	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	id	activity.id	activity.ime	Arguments
E	M	14420034	8293465	4415127	569350	80267	11241	78409	647759	53907	9697968	3549909	299312	152272	2794212	6736581	4497789	4497789	0	4797101	832930	391402	-554105	A	46.4	1.40	4.3	10.3	2.2	0.23	0.37	6.98	0.8	TRUE	MARIBORSKI VODOVOD javno podjetje d.d.	36	ZBIRANJE, PRECISCEVANJE IN DISTRIBUCIJA VODE	?
G	S	5693607	5137211	475960	66523	46988	46988	1303	67826	59306	1865149	592740	1010396	8024	889708	959239	262013	262013	659563	612846	694251	125829	191604	E	14.0	1.57	15.2	-8.2	-1.3	14.78	0.32	0.03	0.1	FALSE	VEIT TEAM trgovsko in servisno podjetje, d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
G	M	12018274	10234377	1103985	85515	14815	14815	572670	658185	458915	6031848	5264215	0	1839231	186972	5838807	701623	701623	0	701623	1677226	508412	1079453	A	11.6	8.32	6.0	9.1	-5.7	-2.79	0.87	38.65	9.8	FALSE	EXTRA LUX, proizvodno in trgovsko podjetje d.o.o., Ljubljana	47.622	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH S PAPIRJEM IN PISALNIMI POTREBSCINAMI	?
R	S	3134701	1104606	927287	251122	110927	110927	39467	290589	-67905	4058283	746791	2027324	179664	3771919	286127	1284168	1284168	1723324	1588168	30813	151972	330056	E	31.6	0.18	-10.4	-6.1	0.0	6.36	0.18	0.36	1.0	FALSE	PIGAL d.o.o. Hotelirstvo, turizem in igralnistvo	92.001	DEJAVNOST IGRALNIC	?
G	S	6240506	5047493	775581	104369	5373	5373	308010	412379	295015	3531256	1747214	83332	179194	1009074	2512143	1661945	1639544	105733	1639544	406578	378201	200550	A	47.1	1.53	-0.2	-9.1	3.2	-0.23	0.49	57.33	9.1	FALSE	BOSSPLAST, Proizvodnja, trgovina in storitve, d.o.o.	46.74	TRGOVINA NA DEBELO S KOVINSKIMI PROIZVODI, INSTALACIJSKIM MATERIALOM, NAPRAVAMI ZA OGREVANJE	?
D	S	11227930	7650980	1269195	1440374	67177	67177	842041	2282415	834558	20341090	18024760	1336297	1185079	17800372	2532174	377111	377111	1175309	538099	26922	2274480	2189969	A	1.9	4.71	46.7	112.3	1.8	0.07	0.89	12.53	4.2	FALSE	GORENJSKE ELEKTRARNE, proizvodnja elektrike, d.o.o.	35.111	PROIZVODNJA ELEKTRICNE ENERGIJE V HIDROELEKTRARNAH	?
G	S	5631918	5149518	317224	54088	84578	84578	102499	156587	23386	4604858	531298	1661999	46401	1742425	2850179	2357406	2357406	1258249	2761156	1093026	77474	273480	E	51.2	1.03	-2.8	-7.8	0.1	10.32	0.12	1.21	2.1	FALSE	MD TRADE Mednarodna trgovina d.o.o.	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
M	M	3417800	2490256	987336	826791	184191	184191	-239157	587634	-168661	8570272	2774845	2528479	19319	2350764	6196461	3001999	3001999	889900	4640578	816357	234890	748602	E	35.0	1.34	-31.2	-40.5	-9.6	4.27	0.32	0.00	-2.5	FALSE	SIMER podjetje za strojniski inzeniring, d.o.o.	71.111	ARHITEKTURNO PROJEKTIRANJE	?
F	S	3198670	1458016	1158128	487879	40743	34654	-240712	247167	-290773	1576530	478808	606789	360449	141778	1420116	155932	155932	0	762721	312310	-230192	-358203	E	9.9	1.86	-5.1	-6.3	-2.5	1.00	0.30	0.00	-15.6	FALSE	ThyssenKrupp dvigala, podjetje za dvigalogradnjo, d.o.o.	43.29	DRUGO INSTALIRANJE PRI GRADNJAH	?
H	S	1697493	780021	516846	464319	70007	70007	79519	543838	8294	2141658	595039	1143455	830	1855858	264008	403164	403164	957559	589060	0	472613	449976	E	18.8	0.45	-16.5	-20.1	0.1	2.10	0.28	1.14	3.5	FALSE	STREET TOUR, prometno-turisticno in gostinsko podjetje, d.o.o., Portoroz	49.391	MEDKRAJEVNI IN DRUG CESTNI POTNISKI PROMET	?
G	S	5179325	4622996	386590	164529	20847	20847	41031	205560	40929	2666782	524409	1614441	154273	1859868	806914	527932	527932	1614441	527932	403946	204116	159203	E	19.8	1.53	-0.9	1.0	-1.6	7.10	0.20	1.97	1.5	FALSE	KRAP trgovina na drobno d.o.o.	47.11	TRGOVINA NA DROBNO V NESPECIALIZIRANIH PRODAJALNAH, PRETEZNO Z ZIVILI	?
M	S	2278973	810926	1300865	54676	310722	16478	296705	351381	21858	3445893	2469145	279834	833159	1339212	1996711	600593	600593	105000	775427	55537	56186	-269481	A	17.4	2.57	-5.3	-5.6	2.2	-1.57	0.72	18.01	8.9	FALSE	SAVAPROJEKT druzba za razvoj, projektiranje, konzalting, inzeniring d.d. Krsko	71.112	KRAJINSKO ARHITEKTURNO, URBANISTICNO IN DRUGO PROJEKTIRANJE	?
G	M	61504624	58328824	744260	154547	121607	121607	2255147	2409694	1783569	17130922	9939597	2840928	260022	451593	16091987	3403814	3403814	2170	6242572	5188897	1842460	-948459	A	19.9	2.58	33.0	19.3	-0.4	1.07	0.58	18.54	14.5	FALSE	JANUS TRADE, trgovina in storitve, d.o.o.	46.49	TRGOVINA NA DEBELO Z DRUGIMI IZDELKI SIROKE PORABE	?
I	M	5969793	3882100	1541569	1026720	58763	58763	-482218	544502	-543782	15231777	9872068	3942829	102813	14483487	705556	932437	932437	25736	4855266	368896	471358	428455	E	6.1	0.15	-2.6	-7.1	2.5	7.05	0.65	0.00	-3.1	FALSE	HOTEL CERKNO Gostinsko turisticno podjetje d.o.o.	55.1	DEJAVNOST HOTELOV IN PODOBNIH NASTANITVENIH OBRATOV	?
J	S	3274620	700938	1673801	73999	58319	1972	876481	950480	881702	5009594	3992049	0	1319768	239401	4768415	236589	236589	0	236589	0	955701	787182	A	4.7	20.15	8.0	1.4	5.9	-1.39	0.80	100.00	19.2	FALSE	IXTLAN TEAM elektronske storitve, d.o.o.	62.01	RACUNALNISKO PROGRAMIRANJE	?
G	S	7899973	7303484	396812	40893	7495	7495	181443	222336	144386	2429786	2238696	0	58445	886708	1542422	191090	191090	0	191090	894124	185279	114062	A	7.9	8.07	1.6	-0.7	0.0	-0.26	0.92	24.21	7.7	FALSE	FERDINAND POSEDI, prodaja avtomobilov in storitve, d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
G	S	3749929	2780602	590131	131945	63300	63300	253084	385029	186764	3861293	1668892	1197087	43656	1303446	2540726	995314	995314	1005521	1186880	817593	318709	372888	A	25.8	2.14	7.3	-9.2	8.3	3.00	0.43	4.00	6.3	FALSE	FIBERNET storitve, d.o.o., Ljubljana	46.52	TRGOVINA NA DEBELO Z ELEKTRONSKIMI IN TELEKOMUNIKACIJSKIMI NAPRAVAMI IN DELI	?
C	M	15424608	9274508	4149638	874364	588386	588386	1086695	1961059	470819	22304336	3934548	12552277	249657	13154345	9104133	3627757	3627757	11800000	4380034	2827924	1328506	437333	E	16.3	2.08	9.3	24.3	1.4	6.27	0.18	1.85	4.7	FALSE	BELIMED pomivalni sistemi d.o.o	28.29	PROIZVODNJA DRUGIH STROJEV IN NAPRAV ZA SPLOSNE NAMENE	?
N	L	45560956	2257409	39795588	150177	820	820	1337954	1488131	1119234	11308311	6064087	330	963188	644767	10648311	4662481	4662481	180	4662631	0	1231960	2045267	A	41.2	2.28	12.6	9.4	0.1	-0.65	0.54	100.00	11.4	FALSE	ADECCO H.R., kadrovsko svetovanje, d.o.o.	78.2	POSREDOVANJE ZACASNE DELOVNE SILE	?
C	L	368700128	319911200	31329740	24256536	9288626	0	619216	24875752	-4335319	439226112	155553552	160934352	15081811	279091648	159777392	117750880	117596792	103186920	175498304	54579944	19921218	17479392	E	26.8	0.91	0.1	-14.7	-1.4	5.86	0.35	100.00	0.1	FALSE	ACRONI, podjetje za proizvodnjo jekla in jeklenih izdelkov d.o.o.	24.1	PROIZVODNJA SUROVEGA ZELEZA, JEKLA, FEROZLITIN	?
G	S	12528557	11728337	355347	46361	11889	11889	391610	437971	330871	3521022	1548412	0	630491	359586	3157013	1939101	1939101	1676	1939101	2073313	371706	708411	A	55.1	1.63	18.4	22.8	0.3	-1.44	0.44	32.94	13.0	FALSE	AVTO PARTNER trgovina in storitve d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
M	M	13902751	13038076	516060	14740	113433	0	300534	315274	286063	9404117	944369	412643	1065987	155018	9249099	7975479	7975479	0	8388122	96823	300803	3380057	E	84.8	1.10	156.2	-20.8	1.5	-2.07	0.10	100.00	4.0	FALSE	GORENJE PROJEKT, inzeniring, d.o.o.	71.111	ARHITEKTURNO PROJEKTIRANJE	?
H	L	11563125	6683019	5405201	1974566	265807	253726	1317912	3292478	978246	16390579	6047880	6552946	3141191	10772358	5613880	1950672	1461453	4697936	3805682	120801	2921630	2721795	A	11.9	1.48	-0.2	-1.5	5.7	1.04	0.37	5.19	8.5	FALSE	AVRIGO, druzba za avtobusni promet in turizem, d.o.o.	49.391	MEDKRAJEVNI IN DRUG CESTNI POTNISKI PROMET	?
G	S	5303790	5175225	231483	62306	101402	101402	-10055	52251	-89362	4739384	1147291	3296264	12570	3414394	1280599	103466	99042	2098366	1489457	877686	-27718	50246	E	2.2	0.86	-7.7	-20.2	0.7	30.00	0.24	0.00	-0.2	FALSE	NOVA OLIMPIJA, trgovska druzba, d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	?
G	S	4080429	3663031	278026	258066	47674	47674	-120385	137681	-167616	2077989	666325	573310	442	27274	2050715	833554	833554	195240	1211624	930974	-154049	-140546	E	40.1	1.69	-5.4	-10.9	-7.2	4.16	0.32	0.00	-5.5	FALSE	VBH Trgovina d.o.o.	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
C	S	4911451	2393191	2695355	93910	19	19	-291707	-197797	-270360	2059314	469078	0	236577	173471	1885434	1575485	1575485	0	1575485	33103	-200186	137188	E	76.5	1.20	38.0	-27.4	-12.4	30.00	0.23	0.00	-10.5	FALSE	DANI AFC krojenje usnja in tekstila d.o.o.	15.11	STROJENJE IN DODELAVA USNJA IN KRZNA	?
F	M	5573480	3591140	1408325	302787	163365	163365	209329	512116	42849	6649772	2356286	2064051	19888	2792359	2196214	2184620	2184620	683267	3565404	72920	345636	-31867	E	32.9	0.62	-13.1	-24.5	3.2	3.99	0.35	1.28	3.1	FALSE	SLEMENSEK, gradbeno podjetje d.o.o.	42.11	GRADNJA CEST	?
C	L	79176872	62371684	11399310	13872545	6765327	2525291	-8534279	5338266	-17905534	72339176	-656531	44826224	86857	49389888	20721246	21917128	21917128	3306546	64992104	4526468	-12953923	3463502	E	30.3	0.32	-1.6	-14.3	-14.8	8.38	-0.01	0.00	-9.2	FALSE	TRIMO inzeniring in proizvodnja montaznih objektov, d.d.	25.11	PROIZVODNJA KOVINSKIH KONSTRUKCIJ IN NJIHOVIH DELOV	?
G	S	2435931	1844581	361413	179350	20089	20089	-2659	176691	-17144	6619956	6022214	0	258001	4500938	2113225	597742	465002	132740	465002	986416	162206	175695	A	9.0	4.54	-20.3	-9.7	-3.0	-1.46	0.91	0.00	0.0	FALSE	MAROS Trgovina na debelo in drobno d.o.o.	47.59	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH S POHISTVOM, SVETILI IN DRUGJE NERAZVRSCENIMI PREDMETI ZA GOSPODINJSTVO	?
C	M	11853299	7700750	2882239	555862	260299	260299	403011	958873	143739	15451873	3263156	5025905	3365	6053173	9374618	6653111	6653111	687432	10991584	6272184	699601	1279683	E	43.1	0.85	4.8	-1.1	-0.7	5.24	0.21	1.55	2.5	FALSE	LEDINEK ENGINEERING, druzba za lesnoobdelovalni inzeniring, proizvodnjo, trgovino in storitve d.o.o.	28.49	PROIZVODNJA DRUGIH OBDELOVALNIH STROJEV	?
H	L	45444464	19048142	21662304	4670354	760013	760013	345237	5015591	56574	37735536	12033043	16145928	397553	32463290	5110223	4594001	4578850	6407667	14332262	404874	4712630	4423320	A	12.2	0.36	12.5	5.8	23.0	3.14	0.32	0.45	0.9	TRUE	JAVNO PODJETJE LJUBLJANSKI POTNISKI PROMET, d.o.o.	49.31	MESTNI IN PRIMESTNI KOPENSKI POTNISKI PROMET	?
R	L	115856592	36903200	43459944	15989010	11280117	5624167	2303047	18292056	-1717275	176510848	41060180	98921480	11176132	156071632	15478563	20998852	20940154	24901472	95019720	1055566	13774691	16982754	E	11.9	0.16	-4.3	-8.0	5.1	4.80	0.23	0.41	1.2	FALSE	HIT hoteli, igralnice, turizem d.d. Nova Gorica	92.001	DEJAVNOST IGRALNIC	?
N	S	4742009	3312690	901232	239647	34532	34532	276575	516222	203933	3385994	860807	748975	219480	1357585	2024629	1021455	973222	797208	973222	6818	331699	466172	A	30.2	2.08	35.8	-1.0	3.3	1.03	0.25	8.01	8.1	FALSE	METALLUM ZORMAN proizvodnja, gradbenistvo, trgovina, gostinstvo, splosna mehanicna dela in druge storitve d.o.o.	78.2	POSREDOVANJE ZACASNE DELOVNE SILE	?
C	S	6186648	5001789	1040208	41510	17377	17377	36794	78304	18063	3070496	2150541	0	8957	41832	3019044	896526	896526	0	896526	1142389	43958	108487	A	29.2	3.37	-1.6	-2.6	0.8	-0.11	0.70	2.12	1.2	FALSE	POCINKOVALNICA, storitveno podjetje, d.o.o.	25.611	PREKRIVANJE KOVIN S KOVINO	?
G	L	36966304	19695908	4150409	255228	18349	18349	11879660	12134888	10603552	23176082	20147890	0	1010546	14431497	8699404	1966933	1966933	0	1966933	555055	10803734	11291764	A	8.5	4.42	-5.5	-5.4	0.3	-0.08	0.87	100.00	51.1	FALSE	WRIGLEY trgovska druzba za prehrambene in slascicarske proizvode d.o.o.	46.17	POSREDNISTVO PRI PRODAJI ZIVIL, PIJAC, TOBACNIH IZDELKOV	?
C	S	2248927	1846246	424577	621631	194048	194048	-942911	-321280	-1136007	7531360	682847	5000001	27842	6769631	738535	1753140	1753140	3031117	3722024	472069	-692889	-78568	E	23.3	0.20	-17.3	-37.9	-21.1	30.00	0.09	0.00	-11.9	FALSE	USKOK polnilnica mineralne vode in vod z ukusi Costella d.d.	11.07	PROIZVODNJA BREZALKOHOLNIH PIJAC, MINERALNIH IN DRUGIH STEKLENICENIH VOD	?
C	L	8700746	7055194	951994	453890	412167	412167	245286	699176	593295	13689404	2851205	7414543	121140	11141239	2545111	3353379	2887999	4490500	6277422	224078	1039791	802418	E	24.5	0.41	-8.2	-5.1	-4.0	10.43	0.21	0.60	1.7	FALSE	DON DON proizvodno in trgovsko podjetje d.o.o. Metlika	10.71	PROIZVODNJA KRUHA, SVEZEGA PECIVA IN SLASCIC	?
G	S	1611747	1309352	268838	62596	1201	727	-21878	40718	31688	2694571	2250811	16795	574	442292	2242097	280448	280448	10097	287146	376873	87211	89972	E	10.4	7.81	-12.4	-26.1	-9.4	0.40	0.84	0.00	-0.8	FALSE	ELBI, elektroinstalacije, projektiranje, trgovina, d.o.o., Kranj	47.54	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH Z ELEKTRICNIMI GOSPODINJSKIMI NAPRAVAMI	?
G	S	3187156	2871744	380606	16398	3164	3164	-77655	-61257	11263	4475958	2140880	190000	232217	2244604	2231354	2077075	774919	1302156	964919	404565	22141	359717	E	46.4	2.31	-18.0	-33.6	-3.0	30.00	0.48	0.00	-2.0	FALSE	PC H.AND racunalniski inzeniring d.o.o.	46.51	TRGOVINA NA DEBELO Z RACUNALNISKIMI NAPRAVAMI	?
G	S	6064274	5338804	515407	87411	34554	34554	134059	221470	118869	2958093	673311	515601	9221	1056656	1899095	1767848	1767848	263480	2019969	395409	206280	164506	A	59.8	0.94	13.0	8.1	-2.8	2.29	0.23	3.88	5.1	FALSE	DUKART, proizvodnja, posrednistvo, trgovina d.o.o.	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	?
I	L	4087071	2260970	1371518	373527	38615	38615	46427	419954	63284	41253124	-4672613	41614352	27454	38221196	3026456	2984550	2984550	10276494	35260360	84728	431159	2316185	E	7.2	0.09	-4.3	2.6	16.7	30.00	-0.11	1.20	0.2	FALSE	NOVI KONDOR druzba za hotelirstvo in nepremicnine d.o.o.	55.1	DEJAVNOST HOTELOV IN PODOBNIH NASTANITVENIH OBRATOV	?
C	L	99466736	64223676	12676073	10445884	24605082	5419380	14033760	24479644	-4060821	189231616	74052976	97752176	1519134	100813496	87885288	14455633	14455633	10541216	101666592	7481462	6266457	3588025	E	7.6	0.86	2.1	-3.4	6.5	3.93	0.39	2.59	7.0	FALSE	PIVOVARNA UNION D.D.	11.05	PROIZVODNJA PIVA	?
M	S	6642775	5814523	890187	287033	171415	171415	561053	848086	413855	10625775	4723607	2724518	381783	6575246	4048607	2673281	2113211	2579927	2817872	2065539	700888	452434	A	25.2	1.44	33.8	10.5	0.8	2.76	0.44	3.27	5.4	FALSE	HANDTE - OST zascita okolja d.o.o.	71.129	DRUGE INZENIRSKE DEJAVNOSTI IN TEHNICNO SVETOVANJE	?
C	S	3641404	2932384	514297	189978	8692	8692	10136	200114	215945	5192368	3965793	90164	76534	922904	4269464	1121842	1121842	0	1212006	52798	404712	487902	A	21.6	3.52	-3.0	-12.9	-9.1	0.07	0.76	1.17	0.2	FALSE	IAK, INDUSTRIJA APNA KRESNICE, d.o.o.	23.52	PROIZVODNJA APNA IN MAVCA	?
J	S	5755531	4876380	1107971	67599	3521	3521	-394434	-326835	-379802	2975396	377170	684155	244643	1634704	1187716	1760591	1760591	563214	1881532	7902	-312203	-197568	E	59.2	0.63	-11.1	-11.0	2.6	30.00	0.13	0.00	-14.0	FALSE	ADRIA MEDIA LJUBLJANA, zaloznistvo in trzenje, d.o.o.	58.14	IZDAJANJE REVIJ IN DRUGE PERIODIKE	?
C	L	6388679	4415822	1725808	146323	115976	115976	-726963	-580640	-838882	4472407	1002967	1796084	16663	1595119	2874868	1477854	1477854	720199	2553739	2194119	-708938	224170	E	33.0	1.13	-5.4	-7.3	-13.6	30.00	0.22	0.00	-14.1	FALSE	STRUC KOVACIJA MUTA proizvodnja, trgovina in storitve d.o.o.	25.731	PROIZVODNJA ROCNEGA ORODJA	?
C	M	24680062	19139612	4037142	603737	68204	68204	719366	1323103	648331	10347906	2625929	1810685	1642909	2255584	7930473	5376892	5376148	726191	6461386	1930064	1220711	1172390	A	52.0	1.23	6.6	31.6	1.7	0.13	0.25	10.55	7.5	FALSE	EUREL podjetje za proizvodnjo, trgovino in storitve d.o.o.	26.11	PROIZVODNJA ELEKTRONSKIH KOMPONENT	?
G	L	509149792	457052128	44705280	5940661	54740556	4309958	1472124	7412785	-48991708	281361472	39351704	101721200	6964930	179654416	99573920	132458360	132455192	94666480	139619168	39621340	-44436884	-42462508	E	47.1	0.71	-8.6	-9.6	-0.7	12.78	0.14	0.34	0.5	FALSE	ENGROTUS podjetje za trgovino, d.o.o.	47.11	TRGOVINA NA DROBNO V NESPECIALIZIRANIH PRODAJALNAH, PRETEZNO Z ZIVILI	?
B	L	114678120	49109856	54207000	22612524	14913106	0	-17815568	4796956	-37178520	184874656	74403376	53493076	66347	157801488	27068414	23670882	23661674	16802958	60361000	9586018	-37178520	-25334598	E	12.8	0.45	-2.7	-2.9	-17.9	11.14	0.40	0.00	-8.8	FALSE	PREMOGOVNIK VELENJE, d.d.	5.2	PRIDOBIVANJE RJAVEGA PREMOGA IN LIGNITA	?
E	S	4544509	2711287	1407212	210090	1127	1127	198267	408357	175016	3272564	2208272	194409	72970	1482659	1787726	832992	832992	160599	866802	57140	361174	371646	A	25.5	2.06	0.1	5.0	0.7	0.30	0.67	100.00	6.3	TRUE	KOMUNALA RADOVLJICA, javno podjetje za komunalno dejavnost, d.o.o.	36	ZBIRANJE, PRECISCEVANJE IN DISTRIBUCIJA VODE	?
C	M	15947018	12271505	3258143	1668118	138370	138370	229145	1897263	399892	9837725	2699780	2466556	128591	2929494	6907448	2714836	2714836	1693667	3487725	2265049	1955629	661114	A	27.6	1.98	-2.5	-0.3	1.0	1.23	0.27	1.66	2.3	FALSE	ASCOM - proizvodnja drsnih obrocev in komutatorjev d.o.o	27.11	PROIZVODNJA ELEKTROMOTORJEV, GENERATORJEV IN TRANSFORMATORJEV	?
C	S	4410054	2788915	894178	508009	4734	4734	805837	1313846	793335	5604529	4019487	801890	340416	3922215	1671776	728365	616785	553220	977035	392201	1228401	1555298	A	13.0	1.71	-3.7	-31.2	7.4	0.35	0.72	100.00	14.7	FALSE	ELPRO KRIZNIC Trgovina-proizvodnja-montaza d.o.o.	27.12	PROIZVODNJA NAPRAV ZA DISTRIBUCIJO IN KRMILJENJE ELEKTRIKE	?
D	M	13274244	1917078	1636945	6067885	0	0	2348823	8416708	2202312	272497696	269743456	26060	4386250	253023360	19470844	2408953	2408953	26060	2408953	34388	8270197	4927199	A	0.9	8.08	14.3	33.5	11.3	-0.52	0.99	100.00	0.9	FALSE	Hidroelektrarne na Spodnji Savi, d.o.o.	35.111	PROIZVODNJA ELEKTRICNE ENERGIJE V HIDROELEKTRARNAH	?
H	S	4816256	3937264	614006	167276	12380	12380	88716	255992	149846	2715914	1071831	371893	129176	1787696	924652	1270495	470495	970397	671991	70393	293185	362376	A	46.8	1.38	1.5	12.9	1.8	0.95	0.39	7.17	3.3	FALSE	KAASS - AVTO trgovina, prevozi v domacem in mednarodnem prometu, servis vozil d.o.o.	49.41	CESTNI TOVORNI PROMET	?
C	S	3076053	2564895	454059	73113	31760	31760	8529	81642	9647	2790654	1603179	103578	110	1079887	1710767	906417	720090	363807	823668	1009220	75927	12831	A	32.5	2.08	2.9	-6.4	11.0	1.27	0.57	0.27	0.3	FALSE	ISKRA VARJENJE Podjetje za inzeniring in proizvodnjo varilne opreme, d.o.o., Ljubljana, Stegne 21/C-1	27.9	PROIZVODNJA DRUGIH ELEKTRICNIH NAPRAV	?
G	S	2311175	1795635	456341	106456	130447	130447	-76924	29532	-195817	4467352	1131304	2946087	3176	2607720	1857580	389961	389961	2338479	997569	842061	-110722	272516	E	8.7	1.86	-33.7	-47.0	-5.6	30.00	0.25	0.00	-1.6	FALSE	EURO FOTO, D.O.O., KRANJ	46.19	NESPECIALIZIRANO POSREDNISTVO PRI PRODAJI RAZNOVRSTNIH IZDELKOV	?
C	M	17585210	13256105	2546913	814393	74503	74503	1096909	1911302	964411	13681853	9297117	2274055	72210	7129158	6552695	1269368	1269368	690439	2879350	3646683	1753757	1468585	A	9.3	2.28	1.5	-3.7	1.0	1.15	0.68	14.72	7.7	FALSE	MITOL, tovarna lepil, d.d., Sezana	20.52	PROIZVODNJA SREDSTEV ZA LEPLJENJE	?
G	M	16764000	14429000	1563000	221000	435000	0	442000	663000	53000	15287000	5403000	3696000	3000	1371000	12328000	5974000	5974000	0	9670000	5593000	274000	-921000	E	39.1	1.27	-35.2	10.3	0.6	5.57	0.35	100.00	3.3	FALSE	GORENJE GTI, trgovina, inzeniring, d.o.o.	46.9	NESPECIALIZIRANA TRGOVINA NA DEBELO	?
G	L	80240968	71831464	6896658	1099537	90359	90359	158522	1258059	147622	25136578	2530594	5961731	5424355	6787112	17748780	16073463	16073463	4064112	17971082	7214962	1090850	1223850	E	63.9	0.99	-1.3	-3.9	-1.8	0.43	0.10	1.75	0.6	FALSE	RUDNIDIS trgovina, d.o.o.	47.11	TRGOVINA NA DROBNO V NESPECIALIZIRANIH PRODAJALNAH, PRETEZNO Z ZIVILI	?
M	S	2041590	1265289	784300	90593	39257	39257	78383	168976	45077	2430766	1143595	812982	40862	709126	1718234	470368	470368	224809	1058541	1217039	128798	233712	E	19.4	1.62	-0.1	-10.9	0.3	4.57	0.47	2.00	3.2	FALSE	DOORSON podjetje za razvoj, inzeniring, proizvodnjo in prodajo avtomatskih sistemov d.o.o.	71.129	DRUGE INZENIRSKE DEJAVNOSTI IN TEHNICNO SVETOVANJE	?
G	L	4238691	3524156	593283	97394	46949	46949	33558	130952	1029	2934860	120329	2302694	4348	2101305	826246	478160	478160	1369726	1411128	589045	96500	100200	E	16.3	0.59	-2.0	-8.5	-1.7	17.55	0.04	0.71	1.1	FALSE	DOMINKO CENTER pooblasceni prodajalec in serviser vozil d.o.o.	45.2	VZDRZEVANJE IN POPRAVILA MOTORNIH VOZIL	?
A	L	13030980	7657675	3765389	1026628	1895187	370697	316473	1343101	-1452175	13563891	4578416	5716640	265674	5927625	7620900	2927469	2927469	802006	7842103	4198382	-633036	717191	E	21.6	0.97	3.5	-5.4	-2.2	4.06	0.34	0.85	2.1	FALSE	GOZDARSTVO GRCA gozdna proizvodnja, razrez lesa in trgovina, d.d.	2.2	SECNJA	?
G	S	7472647	6683811	500610	179479	35721	35721	130833	310312	102445	3058495	996711	535605	20631	856704	2192358	1501925	1501925	76398	1961132	1013821	179201	94356	A	49.1	1.12	19.5	-7.4	-1.8	1.66	0.33	3.66	4.1	FALSE	MAREX Krovstvo, kleparstvo, trgovina d.o.o.	46.74	TRGOVINA NA DEBELO S KOVINSKIMI PROIZVODI, INSTALACIJSKIM MATERIALOM, NAPRAVAMI ZA OGREVANJE	?
C	L	140857744	108466880	10804903	8112577	1188614	1188614	12704468	20817044	10142396	154977648	97076304	40000080	63550	101799272	52908788	15849398	15849398	40000000	15849480	17717040	17678044	11319317	A	10.2	3.34	7.2	16.6	2.7	1.92	0.63	10.69	8.4	FALSE	KOLICEVO KARTON Proizvodnja kartona, d.o.o.	17.12	PROIZVODNJA PAPIRJA IN KARTONA	?
F	S	11374385	10821487	343619	33906	79090	79090	172125	206031	97163	5289935	2280296	722643	3821	872534	4101497	2286996	2286996	33922	2975717	2805137	130441	546151	A	43.2	1.38	59.5	231.8	-9.9	3.49	0.43	2.18	3.3	FALSE	IMP PROMONT-ELEKTRO projektiranje in montaza d.o.o. Novo mesto	43.21	INSTALIRANJE ELEKTRICNIH NAPELJAV IN NAPRAV	?
G	S	4165138	3215495	629390	114762	67660	67660	206519	321281	160624	5209009	2327787	1860092	84460	1409047	3799962	970181	970181	828205	2002068	3275146	265380	163609	A	18.6	1.90	2.2	2.7	-1.2	5.53	0.45	3.05	4.0	FALSE	AC, agrocenter, d.o.o.	45.31	TRGOVINA NA DEBELO Z REZERVNIMI DELI IN OPREMO ZA MOTORNA VOZILA	?
C	L	21467152	14937537	4888797	1008087	614485	268603	983248	1991335	262382	25701846	13673711	7334368	898958	18626038	6951250	3283080	3275074	6733636	4899133	3129643	1151120	1253934	A	12.8	1.42	7.8	-3.5	12.0	3.23	0.53	3.66	3.8	FALSE	LIP, lesna industrija BLED, d.o.o.	16.23	STAVBNO MIZARSTVO IN TESARSTVO	?
E	M	8908000	5709000	1856000	609000	145000	0	667000	1276000	473000	6659000	1627000	2274000	7000	4784000	1865000	2240000	2240000	299000	4215000	9000	473000	912000	A	33.6	0.44	6.2	14.9	3.4	1.78	0.24	100.00	10.6	FALSE	PUBLICUS gospodarjenje z odpadki, trgovina, leasing, prevoz, d.o.o., Ljubljana	38.11	ZBIRANJE IN ODVOZ NENEVARNIH ODPADKOV	?
