target	id	Arguments	status_account	month_duration	credit_history	purpose	credit_amount	status_savings	years_employment	payment_to_income_ratio	status_and_sex	secondary_obligor	residence_since	collateral	age	other_installment_plans	housing	n_credits	job	n_guarantors	telephone	is_foreign_worker
good	262		Negative balance	24	existing credits paid back duly till now	radio/television	1603	< 100 DM	>= 7 years	4	female : divorced/separated/married	none	4	real estate	55	none	own	1	skilled employee/ official	1	none	yes
good	263		Negative balance	18	critical account/ other credits existing (not at this bank)	car (new)	5302	< 100 DM	>= 7 years	2	male : single	none	4	savings agreement/life insurance	36	none	for free	3	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	264		No checking account	12	critical account/ other credits existing (not at this bank)	education	2748	< 100 DM	>= 7 years	2	female : divorced/separated/married	none	4	savings agreement/life insurance	57	bank	for free	3	unskilled - resident	1	none	yes
good	265		No checking account	10	critical account/ other credits existing (not at this bank)	car (new)	1231	< 100 DM	>= 7 years	3	male : single	none	4	none	32	none	own	2	unskilled - resident	2	none	no
bad	266		Low positive balance	15	existing credits paid back duly till now	radio/television	802	< 100 DM	>= 7 years	4	male : single	none	3	real estate	37	none	own	1	skilled employee/ official	2	none	yes
good	267		No checking account	36	critical account/ other credits existing (not at this bank)	business	6304	unknown/ no savings account	>= 7 years	4	male : single	none	4	none	36	none	own	2	skilled employee/ official	1	none	yes
good	268		No checking account	24	existing credits paid back duly till now	radio/television	1533	< 100 DM	< 1 year	4	female : divorced/separated/married	none	3	real estate	38	stores	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	269		Negative balance	14	existing credits paid back duly till now	car (new)	8978	< 100 DM	>= 7 years	1	male : divorced/separated	none	4	car	45	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	no
good	270		No checking account	24	existing credits paid back duly till now	radio/television	999	unknown/ no savings account	>= 7 years	4	male : single	none	2	real estate	25	none	own	2	skilled employee/ official	1	none	yes
good	271		No checking account	18	existing credits paid back duly till now	car (new)	2662	unknown/ no savings account	4 to < 7 years	4	male : single	none	3	car	32	none	own	1	skilled employee/ official	1	none	no
good	272		No checking account	12	critical account/ other credits existing (not at this bank)	furniture/equipment	1402	500 to < 1000 DM	4 to < 7 years	3	female : divorced/separated/married	none	4	real estate	37	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	273		Low positive balance	48	all credits at this bank paid back duly	car (new)	12169	unknown/ no savings account	unemployed	4	male : single	co-applicant	4	savings agreement/life insurance	36	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	274		Low positive balance	48	existing credits paid back duly till now	radio/television	3060	< 100 DM	4 to < 7 years	4	male : single	none	4	none	28	none	own	2	skilled employee/ official	1	none	yes
bad	275		Negative balance	30	existing credits paid back duly till now	repairs	11998	< 100 DM	< 1 year	1	male : divorced/separated	none	1	savings agreement/life insurance	34	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
good	276		No checking account	9	existing credits paid back duly till now	radio/television	2697	< 100 DM	1 to < 4 years	1	male : single	none	2	none	32	none	own	1	skilled employee/ official	2	none	yes
good	277		No checking account	18	critical account/ other credits existing (not at this bank)	radio/television	2404	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	2	real estate	26	none	own	2	skilled employee/ official	1	none	yes
good	278		Negative balance	12	existing credits paid back duly till now	furniture/equipment	1262	unknown/ no savings account	>= 7 years	2	male : divorced/separated	none	4	car	49	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
bad	279		No checking account	6	existing credits paid back duly till now	furniture/equipment	4611	< 100 DM	< 1 year	1	female : divorced/separated/married	none	4	car	32	none	own	1	skilled employee/ official	1	none	yes
good	280		No checking account	24	existing credits paid back duly till now	radio/television	1901	100 to < 500 DM	1 to < 4 years	4	male : single	none	4	real estate	29	none	rent	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	281		No checking account	15	critical account/ other credits existing (not at this bank)	car (used)	3368	>= 1000 DM	>= 7 years	3	male : single	none	4	savings agreement/life insurance	23	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	282		No checking account	12	existing credits paid back duly till now	furniture/equipment	1574	< 100 DM	1 to < 4 years	4	male : single	none	2	none	50	none	own	1	skilled employee/ official	1	none	yes
good	283		High positive balance	18	all credits at this bank paid back duly	radio/television	1445	unknown/ no savings account	4 to < 7 years	4	male : single	none	4	real estate	49	bank	own	1	unskilled - resident	1	none	yes
good	284		No checking account	15	critical account/ other credits existing (not at this bank)	furniture/equipment	1520	unknown/ no savings account	>= 7 years	4	male : single	none	4	car	63	none	own	1	skilled employee/ official	1	none	yes
good	285		Low positive balance	24	critical account/ other credits existing (not at this bank)	car (new)	3878	100 to < 500 DM	< 1 year	4	male : divorced/separated	none	2	real estate	37	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	286		Negative balance	47	existing credits paid back duly till now	car (new)	10722	< 100 DM	< 1 year	1	female : divorced/separated/married	none	1	none	35	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
good	287		Negative balance	48	existing credits paid back duly till now	car (used)	4788	< 100 DM	4 to < 7 years	4	male : single	none	3	car	26	none	own	1	skilled employee/ official	2	none	yes
good	288		Low positive balance	48	delay in paying off in the past	others	7582	100 to < 500 DM	unemployed	2	male : single	none	4	savings agreement/life insurance	31	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	289		Low positive balance	12	existing credits paid back duly till now	radio/television	1092	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	guarantor	4	none	49	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	290		Negative balance	24	delay in paying off in the past	radio/television	1024	< 100 DM	< 1 year	4	male : married/widowed	none	4	none	48	stores	own	1	skilled employee/ official	1	none	yes
good	291		No checking account	12	existing credits paid back duly till now	business	1076	< 100 DM	1 to < 4 years	2	male : married/widowed	none	2	none	26	none	own	1	skilled employee/ official	1	yes, registered under the customers name	no
bad	292		Low positive balance	36	existing credits paid back duly till now	car (used)	9398	< 100 DM	< 1 year	1	male : married/widowed	none	4	real estate	28	none	rent	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	293		Negative balance	24	critical account/ other credits existing (not at this bank)	car (used)	6419	< 100 DM	>= 7 years	2	female : divorced/separated/married	none	4	savings agreement/life insurance	44	none	for free	2	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
good	294		High positive balance	42	critical account/ other credits existing (not at this bank)	car (used)	4796	< 100 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	56	none	for free	1	skilled employee/ official	1	none	yes
good	295		No checking account	48	critical account/ other credits existing (not at this bank)	business	7629	unknown/ no savings account	>= 7 years	4	male : divorced/separated	none	2	real estate	46	bank	own	2	management/ self-employed/highly qualified employee	2	none	yes
bad	296		Low positive balance	48	existing credits paid back duly till now	furniture/equipment	9960	< 100 DM	< 1 year	1	female : divorced/separated/married	none	2	real estate	26	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	297		No checking account	12	existing credits paid back duly till now	car (used)	4675	unknown/ no savings account	< 1 year	1	female : divorced/separated/married	none	4	real estate	20	none	rent	1	skilled employee/ official	1	none	yes
good	298		No checking account	10	existing credits paid back duly till now	car (new)	1287	unknown/ no savings account	>= 7 years	4	male : single	co-applicant	2	car	45	none	own	1	unskilled - resident	1	none	no
good	299		No checking account	18	existing credits paid back duly till now	furniture/equipment	2515	< 100 DM	1 to < 4 years	3	male : single	none	4	none	43	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	300		Low positive balance	21	critical account/ other credits existing (not at this bank)	furniture/equipment	2745	>= 1000 DM	4 to < 7 years	3	male : single	none	2	real estate	32	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	301		No checking account	6	existing credits paid back duly till now	car (new)	672	< 100 DM	unemployed	1	female : divorced/separated/married	none	4	none	54	none	own	1	unemployed/ unskilled - non-resident	1	yes, registered under the customers name	yes
bad	302		Low positive balance	36	no credits taken/ all credits paid back duly	radio/television	3804	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	1	real estate	42	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	303		High positive balance	24	critical account/ other credits existing (not at this bank)	car (new)	1344	unknown/ no savings account	4 to < 7 years	4	male : single	none	2	none	37	bank	own	2	unskilled - resident	2	none	yes
good	304		Negative balance	10	critical account/ other credits existing (not at this bank)	car (new)	1038	< 100 DM	4 to < 7 years	4	male : single	co-applicant	3	car	49	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	305		No checking account	48	critical account/ other credits existing (not at this bank)	car (new)	10127	500 to < 1000 DM	1 to < 4 years	2	male : single	none	2	savings agreement/life insurance	44	bank	for free	1	skilled employee/ official	1	none	yes
good	306		No checking account	6	existing credits paid back duly till now	furniture/equipment	1543	>= 1000 DM	1 to < 4 years	4	male : divorced/separated	none	2	none	33	none	own	1	skilled employee/ official	1	none	yes
good	307		No checking account	30	existing credits paid back duly till now	car (used)	4811	unknown/ no savings account	4 to < 7 years	2	female : divorced/separated/married	none	4	car	24	stores	rent	1	unskilled - resident	1	none	yes
bad	308		Negative balance	12	existing credits paid back duly till now	radio/television	727	100 to < 500 DM	< 1 year	4	male : married/widowed	none	3	savings agreement/life insurance	33	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
bad	309		Low positive balance	8	existing credits paid back duly till now	furniture/equipment	1237	< 100 DM	1 to < 4 years	3	female : divorced/separated/married	none	4	none	24	none	own	1	skilled employee/ official	1	none	yes
good	310		Low positive balance	9	existing credits paid back duly till now	car (new)	276	< 100 DM	1 to < 4 years	4	male : married/widowed	none	4	none	22	none	rent	1	unskilled - resident	1	none	yes
good	311		Low positive balance	48	existing credits paid back duly till now	others	5381	unknown/ no savings account	unemployed	3	male : single	none	4	savings agreement/life insurance	40	bank	for free	1	unemployed/ unskilled - non-resident	1	yes, registered under the customers name	yes
good	312		No checking account	24	existing credits paid back duly till now	furniture/equipment	5511	100 to < 500 DM	1 to < 4 years	4	male : single	none	1	real estate	25	stores	own	1	skilled employee/ official	1	none	yes
good	313		High positive balance	24	existing credits paid back duly till now	furniture/equipment	3749	< 100 DM	< 1 year	2	female : divorced/separated/married	none	4	real estate	26	none	own	1	skilled employee/ official	1	none	yes
bad	314		Low positive balance	12	existing credits paid back duly till now	car (new)	685	< 100 DM	4 to < 7 years	2	male : married/widowed	none	3	real estate	25	bank	own	1	unskilled - resident	1	none	yes
good	315		High positive balance	4	existing credits paid back duly till now	car (new)	1494	unknown/ no savings account	< 1 year	1	male : single	none	2	none	29	none	own	1	unskilled - resident	2	none	no
bad	316		Negative balance	36	all credits at this bank paid back duly	furniture/equipment	2746	< 100 DM	>= 7 years	4	male : single	none	4	real estate	31	bank	own	1	skilled employee/ official	1	none	yes
good	317		Negative balance	12	existing credits paid back duly till now	furniture/equipment	708	< 100 DM	1 to < 4 years	2	male : single	guarantor	3	car	38	none	own	1	unskilled - resident	2	none	yes
good	318		Low positive balance	24	existing credits paid back duly till now	furniture/equipment	4351	unknown/ no savings account	1 to < 4 years	1	female : divorced/separated/married	none	4	car	48	none	own	1	unskilled - resident	1	yes, registered under the customers name	yes
good	319		No checking account	12	critical account/ other credits existing (not at this bank)	education	701	< 100 DM	1 to < 4 years	4	male : single	none	2	real estate	32	none	own	2	skilled employee/ official	1	none	yes
good	320		Negative balance	15	delay in paying off in the past	furniture/equipment	3643	< 100 DM	>= 7 years	1	female : divorced/separated/married	none	4	car	27	none	own	2	unskilled - resident	1	none	yes
bad	321		Low positive balance	30	critical account/ other credits existing (not at this bank)	car (new)	4249	< 100 DM	unemployed	4	male : married/widowed	none	2	real estate	28	none	own	2	management/ self-employed/highly qualified employee	1	none	yes
bad	322		Negative balance	24	existing credits paid back duly till now	radio/television	1938	< 100 DM	< 1 year	4	male : divorced/separated	none	3	car	32	none	own	1	skilled employee/ official	1	none	yes
good	323		Negative balance	24	existing credits paid back duly till now	car (used)	2910	< 100 DM	4 to < 7 years	2	male : single	none	1	savings agreement/life insurance	34	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	324		Negative balance	18	existing credits paid back duly till now	furniture/equipment	2659	>= 1000 DM	1 to < 4 years	4	male : single	none	2	real estate	28	none	own	1	skilled employee/ official	1	none	yes
good	325		No checking account	18	critical account/ other credits existing (not at this bank)	car (new)	1028	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	3	none	36	none	own	2	skilled employee/ official	1	none	yes
good	326		Negative balance	8	critical account/ other credits existing (not at this bank)	car (new)	3398	< 100 DM	4 to < 7 years	1	male : single	none	4	none	39	none	own	2	unskilled - resident	1	none	no
good	327		No checking account	12	critical account/ other credits existing (not at this bank)	furniture/equipment	5801	unknown/ no savings account	>= 7 years	2	male : single	none	4	car	49	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	328		No checking account	24	existing credits paid back duly till now	car (new)	1525	>= 1000 DM	4 to < 7 years	4	female : divorced/separated/married	none	3	real estate	34	none	own	1	skilled employee/ official	2	yes, registered under the customers name	yes
good	329		High positive balance	36	existing credits paid back duly till now	radio/television	4473	< 100 DM	>= 7 years	4	male : single	none	2	real estate	31	none	own	1	skilled employee/ official	1	none	yes
good	330		Low positive balance	6	existing credits paid back duly till now	radio/television	1068	< 100 DM	>= 7 years	4	male : single	none	4	real estate	28	none	own	1	skilled employee/ official	2	none	yes
good	331		Negative balance	24	critical account/ other credits existing (not at this bank)	car (used)	6615	< 100 DM	unemployed	2	male : single	none	4	savings agreement/life insurance	75	none	for free	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	332		No checking account	18	critical account/ other credits existing (not at this bank)	education	1864	100 to < 500 DM	1 to < 4 years	4	female : divorced/separated/married	none	2	none	30	none	own	2	skilled employee/ official	1	none	yes
bad	333		Low positive balance	60	existing credits paid back duly till now	car (new)	7408	100 to < 500 DM	< 1 year	4	female : divorced/separated/married	none	2	car	24	none	own	1	management/ self-employed/highly qualified employee	1	none	yes
bad	334		No checking account	48	critical account/ other credits existing (not at this bank)	car (used)	11590	100 to < 500 DM	1 to < 4 years	2	female : divorced/separated/married	none	4	real estate	24	bank	rent	2	unskilled - resident	1	none	yes
bad	335		Negative balance	24	no credits taken/ all credits paid back duly	furniture/equipment	4110	< 100 DM	>= 7 years	3	male : single	none	4	savings agreement/life insurance	23	bank	rent	2	skilled employee/ official	2	none	yes
bad	336		Negative balance	6	critical account/ other credits existing (not at this bank)	furniture/equipment	3384	< 100 DM	1 to < 4 years	1	male : divorced/separated	none	4	none	44	none	rent	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	337		Low positive balance	13	existing credits paid back duly till now	radio/television	2101	< 100 DM	< 1 year	2	female : divorced/separated/married	guarantor	4	car	23	none	own	1	unskilled - resident	1	none	yes
bad	338		Negative balance	15	existing credits paid back duly till now	domestic appliances	1275	unknown/ no savings account	1 to < 4 years	4	female : divorced/separated/married	none	2	real estate	24	none	rent	1	skilled employee/ official	1	none	yes
good	339		Negative balance	24	existing credits paid back duly till now	furniture/equipment	4169	< 100 DM	1 to < 4 years	4	male : single	none	4	car	28	none	own	1	skilled employee/ official	1	none	yes
good	340		Low positive balance	10	existing credits paid back duly till now	furniture/equipment	1521	< 100 DM	1 to < 4 years	4	male : divorced/separated	none	2	real estate	31	none	own	1	unskilled - resident	1	none	yes
good	341		Low positive balance	24	critical account/ other credits existing (not at this bank)	education	5743	< 100 DM	< 1 year	2	female : divorced/separated/married	none	4	savings agreement/life insurance	24	none	for free	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	342		Negative balance	21	existing credits paid back duly till now	furniture/equipment	3599	< 100 DM	4 to < 7 years	1	female : divorced/separated/married	none	4	real estate	26	none	rent	1	unskilled - resident	1	none	yes
good	343		Low positive balance	18	existing credits paid back duly till now	radio/television	3213	500 to < 1000 DM	< 1 year	1	male : married/widowed	none	3	none	25	none	rent	1	skilled employee/ official	1	none	yes
good	344		Low positive balance	18	existing credits paid back duly till now	business	4439	< 100 DM	>= 7 years	1	male : single	co-applicant	1	none	33	bank	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	345		High positive balance	10	existing credits paid back duly till now	car (new)	3949	< 100 DM	< 1 year	1	male : single	guarantor	1	car	37	none	own	1	unskilled - resident	2	none	yes
good	346		No checking account	15	critical account/ other credits existing (not at this bank)	radio/television	1459	< 100 DM	1 to < 4 years	4	female : divorced/separated/married	none	2	real estate	43	none	own	1	unskilled - resident	1	none	yes
good	347		Low positive balance	13	critical account/ other credits existing (not at this bank)	radio/television	882	< 100 DM	< 1 year	4	male : single	guarantor	4	none	23	none	own	2	skilled employee/ official	1	none	yes
good	348		Low positive balance	24	existing credits paid back duly till now	radio/television	3758	500 to < 1000 DM	unemployed	1	female : divorced/separated/married	none	4	savings agreement/life insurance	23	none	rent	1	unemployed/ unskilled - non-resident	1	none	yes
good	349		No checking account	6	delay in paying off in the past	business	1743	100 to < 500 DM	1 to < 4 years	1	male : single	none	2	none	34	none	own	2	unskilled - resident	1	none	yes
bad	350		Low positive balance	9	critical account/ other credits existing (not at this bank)	education	1136	>= 1000 DM	>= 7 years	4	male : single	none	3	savings agreement/life insurance	32	none	for free	2	skilled employee/ official	2	none	yes
good	351		No checking account	9	existing credits paid back duly till now	domestic appliances	1236	< 100 DM	< 1 year	1	female : divorced/separated/married	none	4	none	23	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	352		Low positive balance	9	existing credits paid back duly till now	furniture/equipment	959	< 100 DM	1 to < 4 years	1	female : divorced/separated/married	none	2	real estate	29	none	own	1	skilled employee/ official	1	none	no
good	353		No checking account	18	critical account/ other credits existing (not at this bank)	car (used)	3229	unknown/ no savings account	unemployed	2	male : single	none	4	savings agreement/life insurance	38	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	354		Negative balance	12	no credits taken/ all credits paid back duly	radio/television	6199	< 100 DM	1 to < 4 years	4	male : single	none	2	car	28	none	rent	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	355		No checking account	10	existing credits paid back duly till now	education	727	500 to < 1000 DM	>= 7 years	4	male : single	none	4	savings agreement/life insurance	46	none	for free	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	356		Low positive balance	24	existing credits paid back duly till now	car (new)	1246	< 100 DM	< 1 year	4	male : single	none	2	none	23	stores	own	1	unskilled - resident	1	none	yes
good	357		No checking account	12	critical account/ other credits existing (not at this bank)	radio/television	2331	unknown/ no savings account	>= 7 years	1	male : single	co-applicant	4	none	49	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	358		No checking account	36	delay in paying off in the past	radio/television	4463	< 100 DM	1 to < 4 years	4	male : single	none	2	real estate	26	none	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	359		No checking account	12	existing credits paid back duly till now	radio/television	776	< 100 DM	1 to < 4 years	4	male : married/widowed	none	2	none	28	none	own	1	skilled employee/ official	1	none	yes
bad	360		Negative balance	30	existing credits paid back duly till now	furniture/equipment	2406	< 100 DM	4 to < 7 years	4	female : divorced/separated/married	none	4	none	23	none	rent	1	skilled employee/ official	1	none	yes
good	361		Low positive balance	18	existing credits paid back duly till now	education	1239	unknown/ no savings account	1 to < 4 years	4	male : single	none	4	savings agreement/life insurance	61	none	for free	1	skilled employee/ official	1	none	yes
good	362		High positive balance	12	existing credits paid back duly till now	radio/television	3399	unknown/ no savings account	>= 7 years	2	male : single	none	3	real estate	37	none	own	1	management/ self-employed/highly qualified employee	1	none	yes
good	363		High positive balance	12	delay in paying off in the past	car (new)	2247	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	2	real estate	36	stores	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	364		No checking account	6	existing credits paid back duly till now	furniture/equipment	1766	< 100 DM	1 to < 4 years	1	male : married/widowed	none	2	car	21	none	rent	1	skilled employee/ official	1	none	yes
bad	365		Negative balance	18	existing credits paid back duly till now	furniture/equipment	2473	< 100 DM	unemployed	4	male : single	none	1	real estate	25	none	own	1	unemployed/ unskilled - non-resident	1	none	yes
good	366		No checking account	12	existing credits paid back duly till now	business	1542	< 100 DM	4 to < 7 years	2	male : single	none	4	real estate	36	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	367		No checking account	18	critical account/ other credits existing (not at this bank)	car (used)	3850	< 100 DM	4 to < 7 years	3	male : single	none	1	real estate	27	none	own	2	skilled employee/ official	1	none	yes
good	368		Negative balance	18	existing credits paid back duly till now	furniture/equipment	3650	< 100 DM	< 1 year	1	female : divorced/separated/married	none	4	real estate	22	none	rent	1	skilled employee/ official	1	none	yes
bad	369		Negative balance	36	existing credits paid back duly till now	furniture/equipment	3446	< 100 DM	>= 7 years	4	male : single	none	2	real estate	42	none	own	1	skilled employee/ official	2	none	yes
good	370		Low positive balance	18	existing credits paid back duly till now	furniture/equipment	3001	< 100 DM	4 to < 7 years	2	female : divorced/separated/married	none	4	none	40	none	rent	1	skilled employee/ official	1	none	yes
good	371		No checking account	36	existing credits paid back duly till now	car (new)	3079	unknown/ no savings account	1 to < 4 years	4	male : single	none	4	none	36	none	own	1	skilled employee/ official	1	none	yes
good	372		No checking account	18	critical account/ other credits existing (not at this bank)	radio/television	6070	< 100 DM	>= 7 years	3	male : single	none	4	real estate	33	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	373		No checking account	10	critical account/ other credits existing (not at this bank)	furniture/equipment	2146	< 100 DM	< 1 year	1	female : divorced/separated/married	none	3	none	23	none	rent	2	skilled employee/ official	1	none	yes
good	374		No checking account	60	critical account/ other credits existing (not at this bank)	car (new)	13756	unknown/ no savings account	>= 7 years	2	male : single	none	4	savings agreement/life insurance	63	bank	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	375		Low positive balance	60	all credits at this bank paid back duly	others	14782	100 to < 500 DM	>= 7 years	3	female : divorced/separated/married	none	4	savings agreement/life insurance	60	bank	for free	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
bad	376		Negative balance	48	all credits at this bank paid back duly	business	7685	< 100 DM	4 to < 7 years	2	female : divorced/separated/married	guarantor	4	real estate	37	none	rent	1	skilled employee/ official	1	none	yes
good	377		No checking account	18	delay in paying off in the past	radio/television	2320	< 100 DM	unemployed	2	male : married/widowed	none	3	none	34	none	own	2	skilled employee/ official	1	none	yes
good	378		No checking account	7	delay in paying off in the past	radio/television	846	unknown/ no savings account	>= 7 years	3	male : single	none	4	savings agreement/life insurance	36	none	for free	1	skilled employee/ official	1	none	yes
bad	379		Low positive balance	36	existing credits paid back duly till now	car (new)	14318	< 100 DM	>= 7 years	4	male : single	none	2	savings agreement/life insurance	57	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	380		No checking account	6	critical account/ other credits existing (not at this bank)	car (new)	362	100 to < 500 DM	1 to < 4 years	4	female : divorced/separated/married	none	4	real estate	52	none	own	2	unskilled - resident	1	none	yes
good	381		Negative balance	20	existing credits paid back duly till now	furniture/equipment	2212	unknown/ no savings account	4 to < 7 years	4	male : single	none	4	real estate	39	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
bad	382		Low positive balance	18	existing credits paid back duly till now	car (used)	12976	< 100 DM	unemployed	3	female : divorced/separated/married	none	4	savings agreement/life insurance	38	none	for free	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	383		No checking account	22	existing credits paid back duly till now	car (new)	1283	unknown/ no savings account	4 to < 7 years	4	female : divorced/separated/married	none	4	car	25	none	rent	1	skilled employee/ official	1	none	yes
good	384		High positive balance	12	existing credits paid back duly till now	car (new)	1330	< 100 DM	< 1 year	4	male : single	none	1	none	26	none	own	1	skilled employee/ official	1	none	yes
good	385		No checking account	30	delay in paying off in the past	business	4272	100 to < 500 DM	1 to < 4 years	2	male : single	none	2	car	26	none	own	2	unskilled - resident	1	none	yes
good	386		No checking account	18	critical account/ other credits existing (not at this bank)	radio/television	2238	< 100 DM	1 to < 4 years	2	female : divorced/separated/married	none	1	real estate	25	none	own	2	skilled employee/ official	1	none	yes
good	387		No checking account	18	existing credits paid back duly till now	radio/television	1126	unknown/ no savings account	< 1 year	4	female : divorced/separated/married	none	2	none	21	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	388		Low positive balance	18	critical account/ other credits existing (not at this bank)	furniture/equipment	7374	< 100 DM	unemployed	4	male : single	none	4	car	40	stores	own	2	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	389		Low positive balance	15	critical account/ other credits existing (not at this bank)	business	2326	500 to < 1000 DM	1 to < 4 years	2	male : single	none	4	real estate	27	bank	own	1	skilled employee/ official	1	none	yes
good	390		No checking account	9	existing credits paid back duly till now	business	1449	< 100 DM	4 to < 7 years	3	female : divorced/separated/married	none	2	real estate	27	none	own	2	skilled employee/ official	1	none	yes
good	391		No checking account	18	existing credits paid back duly till now	car (new)	1820	< 100 DM	1 to < 4 years	2	male : married/widowed	none	2	car	30	none	own	1	management/ self-employed/highly qualified employee	1	yes, registered under the customers name	yes
good	392		Low positive balance	12	existing credits paid back duly till now	furniture/equipment	983	>= 1000 DM	< 1 year	1	female : divorced/separated/married	none	4	none	19	none	rent	1	unskilled - resident	1	none	yes
good	393		Negative balance	36	existing credits paid back duly till now	car (new)	3249	< 100 DM	4 to < 7 years	2	male : single	none	4	savings agreement/life insurance	39	bank	for free	1	management/ self-employed/highly qualified employee	2	yes, registered under the customers name	yes
good	394		Negative balance	6	critical account/ other credits existing (not at this bank)	radio/television	1957	< 100 DM	4 to < 7 years	1	female : divorced/separated/married	none	4	real estate	31	none	own	1	skilled employee/ official	1	none	yes
good	395		No checking account	9	critical account/ other credits existing (not at this bank)	furniture/equipment	2406	< 100 DM	unemployed	2	male : single	none	3	real estate	31	none	own	1	management/ self-employed/highly qualified employee	1	none	yes
good	396		Low positive balance	39	delay in paying off in the past	education	11760	100 to < 500 DM	4 to < 7 years	2	male : single	none	3	savings agreement/life insurance	32	none	rent	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	397		Negative balance	12	existing credits paid back duly till now	furniture/equipment	2578	< 100 DM	unemployed	3	female : divorced/separated/married	none	4	savings agreement/life insurance	55	none	for free	1	management/ self-employed/highly qualified employee	1	none	yes
good	398		Negative balance	36	critical account/ other credits existing (not at this bank)	furniture/equipment	2348	< 100 DM	1 to < 4 years	3	male : married/widowed	none	2	car	46	none	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
bad	399		Low positive balance	12	existing credits paid back duly till now	car (new)	1223	< 100 DM	>= 7 years	1	male : divorced/separated	none	1	none	46	none	rent	2	skilled employee/ official	1	none	yes
good	400		No checking account	24	critical account/ other credits existing (not at this bank)	radio/television	1516	>= 1000 DM	1 to < 4 years	4	female : divorced/separated/married	none	1	none	43	none	own	2	unskilled - resident	1	none	yes
good	401		No checking account	18	existing credits paid back duly till now	radio/television	1473	< 100 DM	< 1 year	3	male : married/widowed	none	4	none	39	none	own	1	skilled employee/ official	1	yes, registered under the customers name	yes
good	402		Low positive balance	18	critical account/ other credits existing (not at this bank)	business	1887	unknown/ no savings account	1 to < 4 years	4	male : married/widowed	none	4	none	28	bank	own	2	skilled employee/ official	1	none	yes
bad	403		No checking account	24	delay in paying off in the past	business	8648	< 100 DM	< 1 year	2	male : single	none	2	real estate	27	bank	own	2	skilled employee/ official	1	yes, registered under the customers name	yes
good	404		No checking account	14	delay in paying off in the past	car (new)	802	< 100 DM	1 to < 4 years	4	male : single	none	2	real estate	27	none	own	2	unskilled - resident	1	none	yes
