CreditApproval	id	Arguments	Gender	DebtRatio	EmploymentStatus	MaritalStatus	EducationLevel	OccupationType	CreditAmount	CreditRatio	HasCreditCard	HasDefault	NumCreditLines	Age	HasLoan	PropertyType	LoanCount
Rejected	Person427		male	2.04	unemployed	g	w	professional	180	0.25	no	no	0	27.67	yes	own	50
Approved	Person10		female	4.915	employed	p	w	professional	52	3.165	yes	no	0	42.5	yes	own	1442
Approved	Person145		female	1.665	unemployed	g	cc	skilled	399	5.085	yes	yes	9	27.25	no	own	827
Approved	Person508		male	3	unemployed	g	q	skilled	0	1.835	yes	yes	19	24.75	no	own	500
Approved	Person156		male	11.5	employed	p	j	other	0	0	yes	yes	11	21.67	yes	own	0
Rejected	Person462		female	0.875	unemployed	g	m	professional	254	0.085	no	yes	4	24.08	no	own	1950
Rejected	Person281		female	0.875	employed	p	secondary	skilled	280	0.25	no	no	0	21.17	no	own	204
Approved	Person514		female	9.96	unemployed	g	postgrad	dd	0	0	yes	no	0	20.25	no	own	0
Rejected	Person373		male	4.585	unemployed	g	k	skilled	240	1	no	no	0	45	yes	s	0
Rejected	Person328		female	3.5	unemployed	g	i	unskilled	1160	0.5	no	no	0	40.83	no	s	0
Rejected	Person81		female	19	unemployed	g	ff	clerical	94	0	yes	yes	1	49.58	no	own	0
Rejected	Person356		male	0.165	unemployed	g	aa	professional	320	1	no	yes	2	16	yes	own	1
Rejected	Person658		male	1.665	unemployed	g	aa	professional	0	0.25	no	no	0	38.92	no	own	390
Rejected	Person433		female	1.54	unemployed	g	k	professional	356	0.085	no	no	0	21.83	yes	own	0
Approved	Person551		female	22.29	unemployed	g	postgrad	z	0	12.75	yes	yes	1	76.75	yes	own	109
Rejected	Person330		female	4	employed	p	i	professional	411	0.085	no	no	0	27.67	yes	own	0
Approved	Person180		female	8.17	unemployed	g	aa	professional	60	1.96	yes	yes	14	20.17	no	own	158
Approved	Person64		male	0.835	unemployed	g	q	professional	0	1.585	yes	yes	1	20.42	no	own	0
Rejected	Person646		female	2.665	unemployed	g	cc	professional	0	0.165	no	no	0	37.33	yes	own	501
Rejected	Person683		female	3.29	unemployed	g	i	professional	140	0.335	no	no	0	17.08	yes	own	2
Rejected	Person424		female	0.835	unemployed	g	cc	professional	100	1.165	no	no	0	26.17	no	own	0
Approved	Person34		male	5.125	unemployed	g	postgrad	professional	0	5	yes	no	0	36.75	yes	own	4000
Rejected	Person467		female	3.085	unemployed	g	secondary	professional	160	2.5	no	yes	2	31.08	yes	own	41
Rejected	Person264		male	10.5	employed	p	x	skilled	154	0	no	no	0	20.42	yes	own	32
Approved	Person570		male	0.915	unemployed	g	aa	professional	0	0.75	yes	yes	4	35.75	no	own	1583
Rejected	Person485		female	1.08	unemployed	g	m	professional	28	1.165	no	no	0	34.67	no	s	0
